ISBN,Book-Title,Book-Author,Year-Of-Publication,Original-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
68,The warlord of Mars,"Burroughs, Edgar Rice, 1875-1950",1993,,,https://www.gutenberg.org/cache/epub/68/pg68.cover.medium.jpg,https://www.gutenberg.org/cache/epub/68/pg68.cover.medium.jpg,https://www.gutenberg.org/cache/epub/68/pg68.cover.medium.jpg
69,The 32nd Mersenne PrimePredicted by Mersenne,"Slowinski, David",1993,,,https://www.gutenberg.org/cache/epub/69/pg69.cover.medium.jpg,https://www.gutenberg.org/cache/epub/69/pg69.cover.medium.jpg,https://www.gutenberg.org/cache/epub/69/pg69.cover.medium.jpg
70,What Is Man? and Other Essays,"Twain, Mark, 1835-1910",2004,,,https://www.gutenberg.org/cache/epub/70/pg70.cover.medium.jpg,https://www.gutenberg.org/cache/epub/70/pg70.cover.medium.jpg,https://www.gutenberg.org/cache/epub/70/pg70.cover.medium.jpg
71,On the Duty of Civil Disobedience,"Thoreau, Henry David, 1817-1862",1993,,,https://www.gutenberg.org/cache/epub/71/pg71.cover.medium.jpg,https://www.gutenberg.org/cache/epub/71/pg71.cover.medium.jpg,https://www.gutenberg.org/cache/epub/71/pg71.cover.medium.jpg
72,"Thuvia, Maid of Mars","Burroughs, Edgar Rice, 1875-1950",1993,,,https://www.gutenberg.org/cache/epub/72/pg72.cover.medium.jpg,https://www.gutenberg.org/cache/epub/72/pg72.cover.medium.jpg,https://www.gutenberg.org/cache/epub/72/pg72.cover.medium.jpg
73,The Red Badge of Courage: An Episode of the American Civil War,"Crane, Stephen, 1871-1900",1993,,,https://www.gutenberg.org/cache/epub/73/pg73.cover.medium.jpg,https://www.gutenberg.org/cache/epub/73/pg73.cover.medium.jpg,https://www.gutenberg.org/cache/epub/73/pg73.cover.medium.jpg
74,"The Adventures of Tom Sawyer, Complete","Twain, Mark, 1835-1910",2004,,,https://www.gutenberg.org/cache/epub/74/pg74.cover.medium.jpg,https://www.gutenberg.org/cache/epub/74/pg74.cover.medium.jpg,https://www.gutenberg.org/cache/epub/74/pg74.cover.medium.jpg
75,E-mail 101,"Goodwin, John E.",1993,,,https://www.gutenberg.org/cache/epub/75/pg75.cover.medium.jpg,https://www.gutenberg.org/cache/epub/75/pg75.cover.medium.jpg,https://www.gutenberg.org/cache/epub/75/pg75.cover.medium.jpg
76,Adventures of Huckleberry Finn,"Twain, Mark, 1835-1910",2004,,,https://www.gutenberg.org/cache/epub/76/pg76.cover.medium.jpg,https://www.gutenberg.org/cache/epub/76/pg76.cover.medium.jpg,https://www.gutenberg.org/cache/epub/76/pg76.cover.medium.jpg
77,The House of the Seven Gables,"Hawthorne, Nathaniel, 1804-1864",1993,,,https://www.gutenberg.org/cache/epub/77/pg77.cover.medium.jpg,https://www.gutenberg.org/cache/epub/77/pg77.cover.medium.jpg,https://www.gutenberg.org/cache/epub/77/pg77.cover.medium.jpg
